Completed Date;Reference;Paid Out (CHF);Paid In (CHF);Exchange Out;Exchange In; Balance (CHF);Category
February 4;Green Gorilla Holmes P;19.90;;;; 9'561.08;restaurants
February 1;Activ Fitness Ag Gen?v;5.50;;;; 9'580.98;entertainment
February 1;Migros;7.85;;;; 9'586.48;groceries
February 1;Au Berceau D'or Sa;85.00;;;; 9'594.33;shopping
February 1;Payment from Martin Alexander Tengelin Et/ou;; 7'995.00;;; 9'679.33;general
January 31;Grand Cafe Real Sa;41.00;;;; 1'684.33;restaurants
January 31;Caf? Ex Machina S?rl;21.80;;;; 1'725.33;restaurants
January 31;Interdiscount-3098 Nyo;31.90;;;; 1'747.13;shopping
January 31;Migros;89.35;;;; 1'779.03;groceries
January 29;Coop Restaurant Genève Fusterie;32.10;;;; 1'868.38;groceries
January 29;Coop 2201 Ge City Nf;6.95;;;; 1'900.48;groceries
January 29;Gyoza-Bar Wasabi;20.00;;;; 1'907.43;restaurants
January 28;Remont es M caniques L;10.00;;;; 1'927.43;transport
January 28;Mountain Air;40.50;;;; 1'937.43;shopping
January 28;Restaurant Le Dahu;70.00;;;; 1'977.93;restaurants
January 28;Restaurant Le Borsalin;30.00;;;; 2'047.93;restaurants
January 28;Coop Pronto Nyon;48.50;;;; 2'077.93;transport
January 28;Relay Le Chable Ga;6.25;;;; 2'126.43;groceries
January 28;Rest. Olympique Cuck;23.90;;;; 2'132.68;restaurants
January 28;Sumup arctic Juice;24.00;;;; 2'156.58;restaurants
January 28;Coop Supermarché Verbier;67.75;;;; 2'180.58;groceries
January 28;Mountain-air Software;164.60;;;; 2'248.33;shopping
January 25;Globus Gastro Gen ve;25.50;;;; 2'412.93;groceries
January 25;migrolino-Shop;9.80;;;; 2'438.43;groceries
January 25;Starbucks;13.70;;;; 2'448.23;restaurants
January 24;Activ Fitness Ag Gen?v;5.50;;;; 2'461.93;entertainment
January 24;Gyoza-Bar Wasabi;20.00;;;; 2'467.43;restaurants
January 24;Nespresso Boutique Gen;15.80;;;; 2'487.43;groceries
January 24;Migros;4.85;;;; 2'503.23;groceries
January 24;Green Gorilla Holmes P;19.90;;;; 2'508.08;restaurants
January 23;Coop Pronto Nyon;10.55;;;; 2'527.98;transport
January 22;H?tel Des Trois-couron;1'014.00;;;; 2'538.53;travel
January 22;Www.scandinavianstuff.;66.58;;SEK 600.00;; 3'552.53;shopping
January 22;Migros;9.45;;;; 3'619.11;groceries
January 22;Coop Restaurant Genève Fusterie;4.85;;;; 3'628.56;groceries
January 22;Nintendo of Europe;7.73;;SEK 70.00;; 3'633.41;shopping
January 22;Nintendo of Europe;8.28;;SEK 75.00;; 3'641.14;shopping
January 22;Socar Nyon;158.62;;;; 3'649.42;transport
January 21;Eurest ;11.00;;;; 3'808.04;restaurants
January 18;Otelina Swss Spa Sarl;130.00;;;; 3'819.04;health
January 18;To Adrien De Castro;23.50;;;; 3'949.04;transfers
January 18;Restaurant coté sud;18.90;;;; 3'972.54;restaurants
January 18;Gyoza-Bar Wasabi;20.00;;;; 3'991.44;restaurants
January 18;Pharmacie St-jean;36.90;;;; 4'011.44;health
January 18;Pharmacie St-jean;19.50;;;; 4'048.34;health
January 18;Caf? Ex Machina S?rl;9.00;;;; 4'067.84;restaurants
January 18;Caf? Ex Machina S?rl;10.90;;;; 4'076.84;restaurants
January 18;Lemoncha;5.50;;;; 4'087.74;groceries
January 18;Asia Market;38.95;;;; 4'093.24;groceries
January 17;Manor Ag;15.50;;;; 4'132.19;shopping
January 17;Caf? Ex Machina S?rl;8.50;;;; 4'147.69;restaurants
January 17;Coop Pronto Nyon;57.20;;;; 4'156.19;transport
January 17;Green Gorilla Holmes P;19.90;;;; 4'213.39;restaurants
January 17;Google;2.00;;;; 4'233.29;services
January 16;Migros;7.25;;;; 4'235.29;groceries
January 16;Globus Gastro Gen ve;33.00;;;; 4'242.54;groceries
January 16;Piscine Du Cossy;20.00;;;; 4'275.54;services
January 15;Grand Cafe Real Sa;48.20;;;; 4'295.54;restaurants
January 15;Coop 2201 Ge City Nf;2.60;;;; 4'343.74;groceries
January 15;Coop 2201 Ge City Nf;19.95;;;; 4'346.34;groceries
January 15;Coop Restaurant Genève Fusterie;59.25;;;; 4'366.29;groceries
January 15;Gyoza-Bar Wasabi;5.80;;;; 4'425.54;restaurants
January 15;Gyoza-Bar Wasabi;19.40;;;; 4'431.34;restaurants
January 15;Activ Fitness Ag Gen?v;5.50;;;; 4'450.74;entertainment
January 14;Sumup  *pb Pain Et Bri;28.60;;;; 4'456.24;restaurants
January 14;Sumup  *kids Fun Park;39.00;;;; 4'484.84;entertainment
January 14;IKEA;122.40;;;; 4'523.84;utilities
January 14;Coop Pronto Nyon;18.35;;;; 4'646.24;transport
January 14;Manor Ag;41.45;;;; 4'664.59;groceries
January 14;Manor Ag;33.75;;;; 4'706.04;shopping
January 14;IKEA;80.90;;;; 4'739.79;utilities
January 14;IKEA;1.50;;;; 4'820.69;utilities
January 14;Green Gorilla Holmes P;19.90;;;; 4'822.19;restaurants
January 14;Ochsner Sport;3.20;;;; 4'842.09;shopping
January 14;Luigia;87.50;;;; 4'845.29;restaurants
January 11;Boucherie-espace Molar;16.50;;;; 4'932.79;groceries
January 11;Ochsner Sport;69.90;;;; 4'949.29;shopping
January 11;Starbucks;3.90;;;; 5'019.19;restaurants
January 11;Starbucks;3.45;;;; 5'023.09;restaurants
January 11;Easyjet000    Etxmxd3;122.75;;;; 5'026.54;travel
January 9;From Adrien De Castro;; 13.50;;; 5'149.29;transfers
January 9;To Matteo Vasirani;5.00;;;; 5'135.79;transfers
January 9;Ochsner Sport;4.80;;;; 5'140.79;shopping
January 9;Parking Clinique Beaul;1.00;;;; 5'145.59;transport
January 9;Kiehl's @ Globus Geneve;148.00;;;; 5'146.59;shopping
January 9;Coop Restaurant Genève Fusterie;55.40;;;; 5'294.59;groceries
January 9;Globus Gastro Gen ve;11.60;;;; 5'349.99;groceries
January 9;Globus Gastro Gen ve;29.00;;;; 5'361.59;groceries
January 9;Migros;4.30;;;; 5'390.59;groceries
January 8;Noville;20.90;;;; 5'394.89;restaurants
January 8;Remont es M caniques L;10.00;;;; 5'415.79;transport
January 8;Carrefour Restaurant;122.70;;;; 5'425.79;restaurants
January 8;To Adrien De Castro;13.00;;;; 5'548.49;transfers
January 7;Quai 23 Sarl;20.00;;;; 5'561.49;restaurants
January 7;Starbucks;25.90;;;; 5'581.49;restaurants
January 7;Restaurant Le Dahu;24.50;;;; 5'607.39;restaurants
January 7;Coop Supermarché Verbier;42.65;;;; 5'631.89;groceries
January 4;Globus Gastro Gen ve;23.50;;;; 5'674.54;groceries
January 3;To Charlotte Tengelin;5'000.00;;;; 5'698.04;transfers
January 3;Refund from Apple Store R275;; 178.50;;; 10'698.04;shopping
January 3;Restaurant Mekong;23.00;;;; 10'519.54;restaurants
January 3;SJ Lounge Stockholm;41.56;;SEK 375.00;; 10'542.54;transport
January 3;Sumup  *pb Pain Et Bri;32.00;;;; 10'584.10;restaurants
January 3;Bosphore-resto;16.30;;;; 10'616.10;restaurants
January 3;Coop Pronto Nyon;44.80;;;; 10'632.40;transport
January 3;Restaurant Luigia Nyon;29.00;;;; 10'677.20;restaurants
January 3;Uber;8.22;;;; 10'706.20;transport
January 2;Payment from Martin Alexander Tengelin Et/ou;; 9'995.00;;; 10'714.42;general
January 2;Lavazza;67.90;;SEK 613.00;; 719.42;restaurants
2018 December 31;Netonnet Ab;340.04;;SEK 3'075.00;; 787.32;shopping
2018 December 31;Sibylla Barbyle;5.31;;SEK 48.00;; 1'127.36;restaurants
2018 December 31;Nelins Livsmedelsbutik;22.29;;SEK 201.55;; 1'132.67;groceries
2018 December 31;Taby Kopcentrum;6.64;;SEK 60.00;; 1'154.96;transport
2018 December 31;Hotel Diplomat;260.07;;SEK 2'376.00;; 1'161.60;travel
2018 December 31;Easyjetevntdmr;98.15;;;; 1'421.67;travel
2018 December 31;Rest Ciao Ciao Grande;65.92;;SEK 600.00;; 1'519.82;restaurants
2018 December 31;Grand Escalier;32.95;;SEK 300.00;; 1'585.74;restaurants
2018 December 31;Sturehof AB;180.61;;SEK 1'650.00;; 1'618.69;restaurants
2018 December 31;Stockholm Zenit;17.11;;SEK 156.00;; 1'799.30;transport
2018 December 31;Uppsala Parkerings Ab;1.10;;SEK 10.00;; 1'816.41;transport
2018 December 31;Circle K Arlandastad Eurostop;59.20;;SEK 539.80;; 1'817.51;transport
2018 December 31;Stationen;181.10;;SEK 1'650.00;; 1'876.71;restaurants
2018 December 31;From Göran Tengelin;; 25.00;;; 2'057.81;transfers
2018 December 30;From Charlotte Tengelin;; 800.00;;; 2'032.81;transfers
2018 December 29;To Göran Tengelin;1'500.00;;;; 1'232.81;transfers
2018 December 29;Apple Rue de Rive;178.50;;;; 2'732.81;shopping
2018 December 28;SJ AB;7.62;;SEK 69.00;; 2'911.31;transport
2018 December 28;Apoteket Centralen Exp;9.61;;SEK 87.00;; 2'918.93;health
2018 December 28;Liseberg;60.96;;SEK 550.00;; 2'928.54;entertainment
2018 December 28;Espresso House 146;8.73;;SEK 79.00;; 2'989.50;restaurants
2018 December 28;Liseberg;3.22;;SEK 29.00;; 2'998.23;restaurants
2018 December 28;Uber B.V.;15.76;;SEK 142.30;; 3'001.45;transport
2018 December 27;HMSHost Schiphol Airport / Exchange Avenue;31.01;;EUR 27.45;; 3'017.21;restaurants
2018 December 27;World of Delights Schiphol B.V.;64.45;;EUR 56.95;; 3'048.22;shopping
2018 December 27;Grand Cafe Real Sa;76.50;;;; 3'112.67;restaurants
2018 December 27;Amstelveen;10.00;;;; 3'189.17;travel
2018 December 27;Amstelveen;10.00;;;; 3'199.17;travel
2018 December 27;Amstelveen;10.00;;;; 3'209.17;travel
2018 December 27;Amstelveen;22.60;;;; 3'219.17;travel
2018 December 27;Aim? Pouly Sa 4858;3.00;;;; 3'241.77;groceries
2018 December 27;Aim? Pouly Sa 4858;32.80;;;; 3'244.77;groceries
2018 December 27;Pharmacie Principale Coutance;108.75;;;; 3'277.57;health
2018 December 27;Caf? Ex Machina S?rl;12.80;;;; 3'386.32;restaurants
2018 December 27;Adf Principale;66.80;;;; 3'399.12;shopping
2018 December 27;Uber;7.40;;;; 3'465.92;transport
2018 December 21;Restaurant Mekong;26.00;;;; 3'473.32;restaurants
2018 December 21;Globus Gastro Gen ve;23.50;;;; 3'499.32;groceries
2018 December 21;Fnac Rive Geneva;35.60;;;; 3'522.82;shopping
2018 December 21;Fnac Rive Geneva;55.50;;;; 3'558.42;shopping
2018 December 21;Fnac Rive Geneva;439.00;;;; 3'613.92;shopping
2018 December 21;Takinoa Fnac2;14.00;;;; 4'052.92;restaurants
2018 December 20;Udemy;14.88;;USD 14.99;; 4'066.92;services
2018 December 20;To Adrien De Castro;23.50;;;; 4'081.80;transfers
2018 December 20;Migros;14.15;;;; 4'105.30;groceries
2018 December 20;Uber;18.74;;;; 4'119.45;transport
2018 December 19;Gyoza-Bar Wasabi;18.60;;;; 4'138.19;restaurants
2018 December 19;Restaurant Luigia Nyon;90.50;;;; 4'156.79;restaurants
2018 December 19;Ochsner Sport;4.80;;;; 4'247.29;shopping
2018 December 18;Refund from L'ambroisie;; 28.00;;; 4'252.09;groceries
2018 December 18;L'ambroisie;28.00;;;; 4'224.09;groceries
2018 December 18;Restaurant Mekong;26.00;;;; 4'252.09;restaurants
2018 December 18;Activ Fitness Ag Gen?v;5.50;;;; 4'278.09;entertainment
2018 December 18;Boucherie-espace Molar;16.50;;;; 4'283.59;groceries
2018 December 18;La Gaite;12.00;;;; 4'300.09;shopping
2018 December 18;Beauty Flore;15.00;;;; 4'312.09;shopping
2018 December 18;H&M;27.70;;;; 4'327.09;shopping
2018 December 17;Boulangerie Bonnin;7.70;;;; 4'354.79;groceries
2018 December 17;Storage King;2.00;;;; 4'362.49;services
2018 December 17;Cdon Se;53.31;;SEK 488.00;; 4'364.49;shopping
2018 December 17;23andme*inc;155.75;;EUR 137.99;; 4'417.80;health
2018 December 17;Mc Donald's;24.80;;;; 4'573.55;restaurants
2018 December 17;Migros;289.60;;;; 4'598.35;groceries
2018 December 17;IKEA;29.75;;;; 4'887.95;utilities
2018 December 14;Exchanged to EUR;146.43;;EUR  130.00;; 4'917.70;general
2018 December 14;Globus Gastro Gen ve;18.00;;;; 5'064.13;groceries
2018 December 14;Parking du Mont-Blanc;7.00;;;; 5'082.13;services
2018 December 14;Nextory Ab;18.50;;SEK 169.00;; 5'089.13;general
2018 December 13;Grand Cafe Real Sa;38.00;;;; 5'107.63;restaurants
2018 December 13;Migros;13.45;;;; 5'145.63;groceries
2018 December 13;Caf? Ex Machina S?rl;8.50;;;; 5'159.08;restaurants
2018 December 12;Boucherie-espace Molar;16.50;;;; 5'167.58;groceries
2018 December 12;Ochsner Sport;3.20;;;; 5'184.08;shopping
2018 December 12;Coop Pronto Nyon;68.90;;;; 5'187.28;transport
2018 December 12;Restaurant Luigia Nyon;72.50;;;; 5'256.18;restaurants
2018 December 12;Gyoza-Bar Wasabi;5.80;;;; 5'328.68;restaurants
2018 December 12;Green Gorilla Holmes P;19.90;;;; 5'334.48;restaurants
2018 December 11;Franz Carl Weber;39.95;;;; 5'354.38;shopping
2018 December 11;Pharmacie Principale *;31.40;;;; 5'394.33;health
2018 December 11;Brezelk?nig Ag;4.00;;;; 5'425.73;groceries
2018 December 10;Rest. Olympique Cuck;20.90;;;; 5'429.73;restaurants
2018 December 10;Coop Supermarché Verbier;38.00;;;; 5'450.63;groceries
2018 December 10;Coop Supermarché Verbier;119.20;;;; 5'488.63;groceries
2018 December 10;Remont es M caniques M;30.00;;;; 5'607.83;transport
2018 December 10;Caf? Ex Machina S?rl;13.50;;;; 5'637.83;restaurants
2018 December 10;One.com;26.45;;;; 5'651.33;services
2018 December 10;Green Gorilla Holmes P;22.40;;;; 5'677.78;restaurants
2018 December 7;Bosphore-resto;12.90;;;; 5'700.18;restaurants
2018 December 7;Migros;8.95;;;; 5'713.08;groceries
2018 December 6;Grand Cafe Real Sa;48.50;;;; 5'722.03;restaurants
2018 December 6;AIG Life Insurance Company (Switzerland) Ltd;30.00;;;; 5'770.53;transport
2018 December 6;Migros;30.20;;;; 5'800.53;groceries
2018 December 5;Sushi Haiku;30.00;;;; 5'830.73;restaurants
2018 December 5;McDonald's;35.40;;;; 5'860.73;restaurants
2018 December 5;Caf? Ex Machina S?rl;9.00;;;; 5'896.13;restaurants
2018 December 5;Restaurant Luigia Nyon;132.00;;;; 5'905.13;restaurants
2018 December 5;Rstudio, Inc.;8.99;;USD 9.00;; 6'037.13;services
2018 December 5;Vivendo 1295 Geneve;60.00;;;; 6'046.12;restaurants
2018 December 5;Easyjet000 Evnvjr2;471.75;;;; 6'106.12;travel
2018 December 4;Activ Fitness Ag Gen?v;5.50;;;; 6'577.87;entertainment
2018 December 4;Migros Fm Nyon;120.00;;;; 6'583.37;shopping
2018 December 4;Restaurant du Chemin-de-Fer;80.00;;;; 6'703.37;restaurants
2018 December 4;Restaurant Vieux Verbier;105.40;;;; 6'783.37;restaurants
2018 December 4;Coop Supermarché Verbier;80.30;;;; 6'888.77;groceries
2018 December 4;migrolino-Shop;10.70;;;; 6'969.07;groceries
2018 December 4;Relay Le Chable Ga;8.45;;;; 6'979.77;groceries
2018 December 3;Apple;19.00;;;; 6'988.22;shopping
2018 December 3;From Charlotte Tengelin;; 1'000.00;;; 7'007.22;transfers
2018 December 3;To Charlotte Tengelin;5'000.00;;;; 6'007.22;transfers
2018 December 3;Elsalad S?rl;35.00;;;; 11'007.22;restaurants
2018 December 3;Kiehl's @ Globus Geneve;42.90;;;; 11'042.22;shopping
2018 December 3;Payment from Martin Alexander Tengelin Et/ou;; 9'995.00;;; 11'085.12;general
2018 December 3;McDonald’s Restaurant;6.10;;;; 1'090.12;restaurants
2018 November 30;To Adrien De Castro;24.00;;;; 1'096.22;transfers
2018 November 29;Exchanged from SEK;; 8.67;;SEK 79.00; 1'120.22;general
2018 November 29;Exchanged from USD;; 143.78;;USD 144.36; 1'111.55;general
2018 November 29;From Adrien De Castro;; 17.00;;; 967.77;transfers
2018 November 28;Globus Gastro Gen ve;25.50;;;; 950.77;groceries
2018 November 28;Uber B.V.;15.43;;;; 976.27;transport
2018 November 27;Coop Restaurant Zürich St. Annahof;13.45;;;; 991.70;groceries
2018 November 26;Restaurant du Chemin-de-Fer;109.50;;;; 1'005.15;restaurants
2018 November 26;microspot.ch;178.00;;;; 1'114.65;shopping
2018 November 26;Rest. Olympique Cuck;3.90;;;; 1'292.65;restaurants
2018 November 26;Rest. Olympique Cuck;66.80;;;; 1'296.55;restaurants
2018 November 26;Remont es M caniques M;18.00;;;; 1'363.35;transport
2018 November 26;Icebreaker_eu;79.34;;;; 1'381.35;shopping
2018 November 26;Bosphore-resto;13.90;;;; 1'460.69;restaurants
2018 November 26;Sushi Haiku;26.00;;;; 1'474.59;restaurants
2018 November 26;Microsoft;40.88;;GBP 31.99;; 1'500.59;entertainment
2018 November 26;Microsoft;40.89;;GBP 31.99;; 1'541.47;entertainment
2018 November 23;Easyjet000 Evnvjr2;194.61;;;; 1'582.36;travel
2018 November 23;Easyjet000 Evnvjr2;65.50;;;; 1'776.97;travel
2018 November 23;Globus Gastro Gen ve;25.50;;;; 1'842.47;groceries
2018 November 23;Globus Gastro Gen ve;3.50;;;; 1'867.97;groceries
2018 November 23;Facebk *unicefsverige;20.00;;;; 1'871.47;services
2018 November 22;Restaurant Mekong;42.00;;;; 1'891.47;restaurants
2018 November 21;Coophome - 6003;19.75;;;; 1'933.47;groceries
2018 November 21;Restaurant Luigia Nyon;65.00;;;; 1'953.22;restaurants
2018 November 21;Uber B.V.;9.27;;;; 2'018.22;transport
2018 November 20;Refund from www.tidningskungen.se;; 22.21;;; 2'027.49;general
2018 November 20;Boucherie-espace Molar;16.50;;;; 2'005.28;groceries
2018 November 20;Socar Nyon;130.66;;;; 2'021.78;transport
2018 November 19;Exchanged from SEK;; 143.30;;SEK 1'300.00; 2'152.44;general
2018 November 19;Www.tidningskungen.se;22.21;;SEK 199.00;; 2'009.14;shopping
2018 November 19;Parking du Mont-Blanc;23.00;;;; 2'031.35;services
2018 November 19;Coop Supermarché Verbier;112.65;;;; 2'054.35;groceries
2018 November 19;Carrefour Restaurant;90.50;;;; 2'167.00;restaurants
2018 November 19;DHL Express Switzerland Ltd;36.25;;;; 2'257.50;transport
2018 November 19;Globus Gastro Gen ve;47.00;;;; 2'293.75;groceries
2018 November 16;Google;2.00;;;; 2'340.75;services
2018 November 16;From Matteo Vasirani;; 23.50;;; 2'342.75;transfers
2018 November 16;Gyoza-Bar Wasabi;18.60;;;; 2'319.25;restaurants
2018 November 15;Genève Aéroport;22.00;;;; 2'337.85;transport
2018 November 15;Stravacom;4.00;;;; 2'359.85;entertainment
2018 November 14;Metal plan fee;160.00;;;; 2'363.85;general
2018 November 14;Plan termination refund;; 8.99;;; 2'523.85;general
2018 November 14;Globus Gastro Gen ve;18.00;;;; 2'514.86;groceries
2018 November 14;Green Gorilla Holmes P;19.90;;;; 2'532.86;restaurants
2018 November 13;Nextory Ab;15.38;;SEK 139.00;; 2'552.76;general
2018 November 13;Noville;29.80;;;; 2'568.14;restaurants
2018 November 13;Austin Article;50.05;;USD 49.72;; 2'597.94;shopping
2018 November 13;Aus 3180a Austin Artic;8.71;;USD 8.65;; 2'647.99;shopping
2018 November 12;Brasserie Le Bec;87.50;;;; 2'656.70;restaurants
2018 November 12;Albert Pougnier SA;8.85;;;; 2'744.20;groceries
2018 November 12;IKEA;87.33;;;; 2'753.05;utilities
2018 November 12;Eni Yvorne-ouest A9;120.87;;;; 2'840.38;transport
2018 November 9;Coop Online-shop;173.00;;;; 2'961.25;groceries
2018 November 8;United Web Agency;9.02;;USD 8.99;; 3'134.25;travel
2018 November 6;Satelite Gp+;28.30;;;; 3'143.27;restaurants
2018 November 5;Nike SoHo;112.77;;USD 112.58;; 3'171.57;general
2018 November 5;Rstudio, Inc.;9.07;;USD 9.00;; 3'284.34;services
2018 November 5;Rest Le Leman;74.00;;;; 3'293.41;restaurants
2018 November 5;Caf? Ex Machina S?rl;23.00;;;; 3'367.41;restaurants
2018 November 5;Asia Market;51.85;;;; 3'390.41;groceries
2018 November 5;Marcel dupont;58.50;;;; 3'442.26;restaurants
2018 November 3;From Charlotte Tengelin;; 1'000.00;;; 3'500.76;transfers
2018 November 2;To Charlotte Tengelin;2'500.00;;;; 2'500.76;transfers
2018 November 2;Payment from Martin Alexander Tengelin Et/ou;; 5'000.00;;; 5'000.76;general
2018 November 2;Paypal;22.99;;GBP 17.88;; 0.76;services
2018 October 31;From Adrien De Castro;; 13.50;;; 23.75;transfers
2018 October 31;Migros;3.10;;;; 10.25;groceries
2018 October 31;Globus Gastro Gen ve;23.50;;;; 13.35;groceries
2018 October 30;To Charlotte Tengelin;1.00;;;; 36.85;transfers
